profile_id,employee_id,typical_login_start,typical_login_end,working_days,preferred_locations,trusted_devices,usual_resources,average_session_duration,average_daily_logins,vpn_usage_probability,travel_probability,remote_work_probability,preferred_login_days,normal_login_locations,normal_login_hours_variance,average_resources_per_session,average_failed_logins_per_month,normal_browser_usage,normal_operating_systems,device_switch_probability
BPROF-0001,EMP-0001,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0001|DEV-0002,RES-GITHUB|RES-GITLAB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-KNOWLEDGE_BASE,303.0,2.6,0.57,0.42,0.6,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,2,7.7,0.2,Chrome|Edge,Windows|macOS,0.33
BPROF-0002,EMP-0002,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,DEV-0003|DEV-0004,RES-GITHUB|RES-GITLAB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN,350.9,3.2,0.57,0.33,0.51,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,2,5.3,0.9,Chrome|Edge,Windows|macOS,0.21
BPROF-0003,EMP-0003,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0005|DEV-0006,RES-GITHUB|RES-GITLAB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN,398.3,2.3,0.53,0.22,0.36,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,2,6.3,0.2,Chrome|Edge,Windows|macOS,0.23
BPROF-0004,EMP-0004,9,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0007|DEV-0008,RES-GITHUB|RES-GITLAB|RES-JIRA|RES-CONFLUENCE|RES-AWS_CONSOLE|RES-VPN,434.4,2.4,0.41,0.1,0.34,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,8.7,0.2,Chrome|Edge|Firefox,Windows|macOS|Linux,0.09
BPROF-0005,EMP-0005,9,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0009|DEV-0010|DEV-0011,RES-GITHUB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN,466.3,2.0,0.36,0.03,0.5,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,7.1,2.0,Chrome|Edge,Windows|macOS,0.14
BPROF-0006,EMP-0006,9,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0012|DEV-0013|DEV-0014,RES-GITHUB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN,405.6,2.2,0.55,0.03,0.41,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,1,6.7,1.4,Chrome|Edge,Windows|macOS,0.12
BPROF-0007,EMP-0007,9,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,DEV-0015|DEV-0016,RES-GITHUB|RES-GITLAB|RES-JIRA|RES-CONFLUENCE|RES-AWS_CONSOLE|RES-VPN,453.4,2.4,0.54,0.08,0.58,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,1,7.8,0.4,Chrome|Edge|Firefox,Windows|macOS|Linux,0.09
BPROF-0008,EMP-0008,9,18,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0017|DEV-0018,RES-GITHUB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN,366.7,2.7,0.54,0.05,0.32,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,7.7,1.1,Chrome|Edge,Windows|macOS,0.12
BPROF-0009,EMP-0009,10,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,DEV-0019|DEV-0020,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,287.5,2.4,0.19,0.01,0.1,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,1,3.7,1.5,Chrome|Edge,Windows|macOS,0.11
BPROF-0010,EMP-0010,9,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0021|DEV-0022,RES-GITHUB|RES-JIRA|RES-CONFLUENCE|RES-SLACK|RES-VPN,407.9,1.8,0.6,0.06,0.33,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,1,4.2,0.2,Chrome|Edge,Windows|macOS,0.11
