employee_id,simulation_day,event_sequence,total_events,login_count,logout_count,auth_failure_rate,max_failed_login_streak,country_change_count,location_change_count,unique_device_count,unique_location_count,resource_entropy,device_entropy,after_hours_event_count,download_size_mb_sum,mass_download_event_count,vpn_usage_ratio,burst_max_5min,active_duration_hours,file_access_ratio,night_event_count,application_access_count,file_access_count,demo_kind,attack_scenario,median_idle_gap_sec
EMP-001,2026-03-06,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|LOGOUT,36,1,1,0.01,0,0,1,1,1,0.4867,0.15,0,5.1628,0,0.05,3.3315,7.442,0.0,0,13,2,normal,,
EMP-002,2026-03-06,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|LOGOUT,27,1,1,0.015,0,0,1,1,1,0.5235,0.15,0,4.6411,0,0.05,4.1338,7.8503,0.0,0,15,2,normal,,
EMP-003,2026-03-06,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,35,1,1,0.02,0,0,1,1,1,0.5594,0.15,0,6.0757,0,0.35,5.3443,8.8006,0.0,0,20,2,normal,,
EMP-004,2026-03-09,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|LOGOUT,34,1,1,0.01,0,0,1,1,1,0.5609,0.15,0,6.8707,0,0.05,3.4533,7.8022,0.0,0,17,2,normal,,
EMP-005,2026-03-06,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|FILE_ACCESS|MEETING_JOIN|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|FILE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|FILE_ACCESS|EMAIL_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,38,1,1,0.015,0,0,1,1,1,0.4519,0.15,0,7.6868,0,0.35,4.0692,8.1881,0.07894736842105263,0,17,3,normal,,
EMP-006,2026-03-08,DEVICE_CONNECT|LOGIN|VPN_CONNECT|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,32,1,1,0.02,0,0,1,1,1,0.5265,0.15,0,5.3878,0,0.35,4.9275,8.2519,0.0,0,12,2,normal,,
EMP-007,2026-03-10,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|LOGOUT,29,1,1,0.01,0,0,1,1,1,0.5774,0.15,0,4.3577,0,0.05,2.7533,7.2332,0.0,0,19,2,normal,,
EMP-008,2026-03-10,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|BREAK_START|BREAK_END|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,26,1,1,0.015,0,0,1,1,1,0.619,0.15,0,7.211,0,0.35,4.1753,7.9709,0.0,0,9,2,normal,,
EMP-009,2026-03-06,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|BREAK_START|BREAK_END|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|MEETING_JOIN|FILE_ACCESS|EMAIL_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,31,1,1,0.02,0,0,1,1,1,0.4723,0.15,0,5.8395,0,0.35,5.5,8.723,0.03225806451612903,0,10,2,normal,,
EMP-010,2026-03-06,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|LOGOUT,22,1,1,0.01,0,0,1,1,1,0.4635,0.15,0,7.7407,0,0.05,2.6147,7.4607,0.0,0,16,2,normal,,
